日常生活,旅遊英文,商務會話,奇幻冒險
morning,airport,meeting,dragon
evening,hotel,email,wizard
food,passport,client,magic
water,ticket,project,castle
house,train,report,knight
family,bus,deadline,sword
friend,taxi,presentation,shield
work,map,negotiate,quest
school,luggage,contract,elf
sleep,flight,team,dwarf
eat,station,manager,orc
drink,check-in,office,goblin
read,check-out,company,treasure
write,book,market,journey
talk,guide,product,hero
listen,tourist,service,villain
walk,city,profit,spell
run,country,loss,potion
happy,currency,budget,forest
sad,restaurant,invoice,mountain
clean,museum,payment,cave
cook,beach,strategy,kingdom
shower,souvenir,goal,adventure
clothes,reservation,schedule,amulet
computer,translate,customer,prophecy
